Player,Pos,Passes,Completed,Accuracy
Rodri,MF,799,747,93
Pau Cubarsi,DF,690,668,97
Aymeric Laporte,DF,660,618,94
Leandro Paredes,MF,565,532,94
Marc Guehi,DF,532,514,97
Enzo Fernandez,MF,519,480,92
Ezri Konsa,DF,488,469,96
Manuel Akanji,DF,479,444,93
Marc Cucurella,DF,474,433,91
Granit Xhaka,MF,470,427,91
Pedri,MF,469,420,90
Lisandro Martinez,DF,450,422,94
Achraf Hakimi,DF,449,402,90
Elliot Anderson,MF,445,396,89
Dayot Upamecano,DF,443,409,92
Nico Elvedi,DF,438,406,93
Neil El Aynaoui,MF,433,405,94
Gabriel Magalhaes,DF,431,413,96
Alexis Mac Allister,MF,430,393,91
Cristian Romero,DF,430,415,97
Sander Berge,MF,425,412,97
Pedro Porro,DF,420,379,90
Michael Olise,FW,417,362,87
Vitinha,MF,403,379,94
Brandon Mechele,DF,399,369,92
Ramy Bensebaini,DF,385,359,93
Aissa Mandi,DF,382,357,93
Marquinhos,DF,380,367,97
Jonathan Tah,DF,375,364,97
Joshua Kimmich,DF,368,336,91
Martin Odegaard,MF,367,322,88
Lionel Messi,FW,367,288,78
Davinson Sanchez,DF,361,324,90
Jan Paul Van Hecke,DF,360,335,93
Marawan Attia,MF,357,313,88
Jules Kounde,DF,353,314,89
Adrien Rabiot,MF,351,323,92
Virgil Van Dijk,DF,347,330,95
Declan Rice,MF,340,312,92
Renato Veiga,DF,336,320,95
Rodrigo De Paul,MF,327,300,92
Issa Diop,DF,326,299,92
Remo Freuler,MF,324,299,92
Azzedine Ounahi,MF,315,281,89
William Saliba,DF,315,307,97
Unai Simon,GK,314,253,81
Torbjorn Heggem,DF,301,282,94
Tim Ream,DF,298,281,94
Pedro Vite,MF,297,269,91
Ousmane Dembele,FW,297,236,79
